"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","param","value","treat2","mean","lowerci","upperci"
"1","CFAA1","280_31_1","4.5",311,31,"T90","F","PAST","A","280","31","AA_F",10.547,"lipid",0.283302893,"311_31",0.264899128487047,0.150212524341427,0.380968712186115
"2","CFAA14","400_28_1","6",447,28,"T90","F","PAST","A","400","28","AA_F",10.418,"lipid",0.05856389,"447_28",0.164791894446034,0.0703933018999022,0.258052210301748
"3","CFAA2","280_28_1","4",288,28,"T90","F","PAST","A","280","28","AA_F",8.63,"lipid",0.191900028,"288_28",0.2087005218669,0.110859807615379,0.306051791983194
"4","CFAA6","700_28_1","8",673,28,"T90","F","PAST","A","700","28","AA_F",12.19,"lipid",0.053960868,"673_28",0.109817142040083,0.0110692305731567,0.208627916036884
"5","CFAA8","2800_28_1","10",3285,28,"T90","F","PAST","A","2800","28","AA_F",11.967,"lipid",0.213038798,"3285_28",0.128365564052247,0.0355656470813712,0.223936823956041
"6","CFAB11","700_28_1","8",673,28,"T90","F","PAST","B","700","28","AB_F",10.074,"lipid",0.081484238,"673_28",0.109817142040083,0.0110692305731567,0.208627916036884
"7","CFAB18","400_28_1","6",447,28,"T90","F","PAST","B","400","28","AB_F",9.132,"lipid",0.063166109,"447_28",0.164791894446034,0.0703933018999022,0.258052210301748
"8","CFAB2","280_28_1","4",288,28,"T90","F","PAST","B","280","28","AB_F",10.698,"lipid",0.203539008,"288_28",0.2087005218669,0.110859807615379,0.306051791983194
"9","CFAB3","400_31_1","6.5",405,31,"T90","F","PAST","B","400","31","AB_F",11.497,"lipid",0.159124026,"405_31",0.220990501066181,0.115679491537983,0.325400355181798
"10","CFAB5","700_31_1","8.5",701,31,"T90","F","PAST","B","700","31","AB_F",11.136,"lipid",0.147105335,"701_31",0.16601574866023,0.0623428011231245,0.269048546034349
"11","CFAB8","2800_28_1","10",3285,28,"T90","F","PAST","B","2800","28","AB_F",9.958,"lipid",0.064006203,"3285_28",0.128365564052247,0.0355656470813712,0.223936823956041
"12","CFAC1","280_31_2","4.5",311,31,"T90","F","PAST","C","280","31","AC_F",8.561,"lipid",0.137282051,"311_31",0.264899128487047,0.150212524341427,0.380968712186115
"13","CFAC12","400_28_2","6",447,28,"T90","F","PAST","C","400","28","AC_F",9.083,"lipid",0.121468796,"447_28",0.164791894446034,0.0703933018999022,0.258052210301748
"14","CFAC2","280_28_2","4",288,28,"T90","F","PAST","C","280","28","AC_F",9.69,"lipid",0.18618538,"288_28",0.2087005218669,0.110859807615379,0.306051791983194
