"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","offset","param","value","mean","lowerci","upperci"
"1","CFAA1","280_31_1",4,311,31,"T90","F","PAST","A","300","31","AA_F",10.547,0.759,"den",5.524414525,5.91038541152494,3.49811723591401,8.28845554381532
"2","CFAA14","400_28_1",6,447,28,"T90","F","PAST","A","420","28","AA_F",10.418,0.624,"den",7.570308751,7.14683282447657,5.45306905595165,8.78306801339041
"3","CFAA2","280_28_1",4,288,28,"T90","F","PAST","A","300","28","AA_F",8.63,0.637,"den",2.911506818,7.78857316121194,6.18008297362078,9.36656912449663
"4","CFAA6","700_28_1",8,673,28,"T90","F","PAST","A","680","28","AA_F",12.19,0.615,"den",1.706253931,4.77496310403566,2.97721891694322,6.5423908261646
"5","CFAA8","2800_28_1",10,3285,28,"T90","F","PAST","A","3300","28","AA_F",11.967,1.212,"den",5.384362553,5.71675999295909,4.08164467437131,7.40293571296465
"6","CFAB11","700_28_1",8,673,28,"T90","F","PAST","B","680","28","AB_F",10.074,1.191,"den",3.959796168,4.77496310403566,2.97721891694322,6.5423908261646
"7","CFAB18","400_28_1",6,447,28,"T90","F","PAST","B","420","28","AB_F",9.132,0.602,"den",3.133596145,7.14683282447657,5.45306905595165,8.78306801339041
"8","CFAB2","280_28_1",4,288,28,"T90","F","PAST","B","300","28","AB_F",10.698,0.981,"den",7.07107026,7.78857316121194,6.18008297362078,9.36656912449663
"9","CFAB8","2800_28_1",10,3285,28,"T90","F","PAST","B","3300","28","AB_F",9.958,0.552,"den",5.362878661,5.71675999295909,4.08164467437131,7.40293571296465
"10","CFAC1","280_31_2",4,311,31,"T90","F","PAST","C","300","31","AC_F",8.561,0.642,"den",7.818658942,5.91038541152494,3.49811723591401,8.28845554381532
"11","CFAC12","400_28_2",6,447,28,"T90","F","PAST","C","420","28","AC_F",9.083,0.881,"den",9.155565342,7.14683282447657,5.45306905595165,8.78306801339041
"12","CFAC2","280_28_2",4,288,28,"T90","F","PAST","C","300","28","AC_F",9.69,1.187,"den",10.12720581,7.78857316121194,6.18008297362078,9.36656912449663
"13","CFAC3","400_31_2",6,405,31,"T90","F","PAST","C","420","31","AC_F",10.757,0.511,"den",5.945336226,9.50006409764508,6.65968159815509,12.4357692903885
"14","CFAC5","700_31_2",8,701,31,"T90","F","PAST","C","680","31","AC_F",11.743,0.468,"den",1.859831389,2.8352229636764,0.430186184285067,5.26931376002877
"15","CFAC6","700_28_2",8,673,28,"T90","F","PAST","C","680","28","AC_F",10.222,0.538,"den",8.725233157,4.77496310403566,2.97721891694322,6.5423908261646
"16","CFAC8","2800_28_2",10,3285,28,"T90","F","PAST","C","3300","28","AC_F",9.302,0.591,"den",7.74199097,5.71675999295909,4.08164467437131,7.40293571296465
"17","CFAD12","400_28_2",6,447,28,"T90","F","PAST","D","420","28","AD_F",5.764,0.954,"den",5.618783252,7.14683282447657,5.45306905595165,8.78306801339041
"18","CFAD2","280_28_2",4,288,28,"T90","F","PAST","D","300","28","AD_F",8.646,0.636,"den",4.812398797,7.78857316121194,6.18008297362078,9.36656912449663
"19","CFAD5","700_31_2",8,701,31,"T90","F","PAST","D","680","31","AD_F",9.903,0.555,"den",2.283506126,2.8352229636764,0.430186184285067,5.26931376002877
"20","CFAD6","700_28_2",8,673,28,"T90","F","PAST","D","680","28","AD_F",8.446,0.651,"den",5.52949998,4.77496310403566,2.97721891694322,6.5423908261646
"21","CFAD8","2800_28_2",10,3285,28,"T90","F","PAST","D","3300","28","AD_F",9.366,0.587,"den",7.286756593,5.71675999295909,4.08164467437131,7.40293571296465
"22","CFAD9","400_28_3",6,447,28,"T90","F","PAST","D","420","28","AD_F",6.6,1.591,"den",10.73864956,7.14683282447657,5.45306905595165,8.78306801339041
