"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","offset","param","value","mean","lowerci","upperci"
"1","CFAA1","280_31_1",4,311,31,"T90","F","PAST","A","300","31","AA_F",10.547,0.759,"lipid",0.283302893,0.173385287066769,0.0732012368637135,0.270103625966225
"2","CFAA14","400_28_1",6,447,28,"T90","F","PAST","A","420","28","AA_F",10.418,0.624,"lipid",0.05856389,0.130070975058398,0.0547586132517956,0.208253170195865
"3","CFAA2","280_28_1",4,288,28,"T90","F","PAST","A","300","28","AA_F",8.63,0.637,"lipid",0.191900028,0.130070975058398,0.0547586132517956,0.208253170195865
"4","CFAA6","700_28_1",8,673,28,"T90","F","PAST","A","680","28","AA_F",12.19,0.615,"lipid",0.053960868,0.130070975058398,0.0547586132517956,0.208253170195865
"5","CFAA8","2800_28_1",10,3285,28,"T90","F","PAST","A","3300","28","AA_F",11.967,1.212,"lipid",0.213038798,0.130070975058398,0.0547586132517956,0.208253170195865
"6","CFAB11","700_28_1",8,673,28,"T90","F","PAST","B","680","28","AB_F",10.074,1.191,"lipid",0.081484238,0.130070975058398,0.0547586132517956,0.208253170195865
"7","CFAB18","400_28_1",6,447,28,"T90","F","PAST","B","420","28","AB_F",9.132,0.602,"lipid",0.063166109,0.130070975058398,0.0547586132517956,0.208253170195865
"8","CFAB2","280_28_1",4,288,28,"T90","F","PAST","B","300","28","AB_F",10.698,0.981,"lipid",0.203539008,0.130070975058398,0.0547586132517956,0.208253170195865
"9","CFAB3","400_31_1",6,405,31,"T90","F","PAST","B","420","31","AB_F",11.497,0.478,"lipid",0.159124026,0.173385287066769,0.0732012368637135,0.270103625966225
"10","CFAB5","700_31_1",8,701,31,"T90","F","PAST","B","680","31","AB_F",11.136,0.494,"lipid",0.147105335,0.173385287066769,0.0732012368637135,0.270103625966225
"11","CFAB8","2800_28_1",10,3285,28,"T90","F","PAST","B","3300","28","AB_F",9.958,0.552,"lipid",0.064006203,0.130070975058398,0.0547586132517956,0.208253170195865
"12","CFAC1","280_31_2",4,311,31,"T90","F","PAST","C","300","31","AC_F",8.561,0.642,"lipid",0.137282051,0.173385287066769,0.0732012368637135,0.270103625966225
"13","CFAC12","400_28_2",6,447,28,"T90","F","PAST","C","420","28","AC_F",9.083,0.881,"lipid",0.121468796,0.130070975058398,0.0547586132517956,0.208253170195865
"14","CFAC2","280_28_2",4,288,28,"T90","F","PAST","C","300","28","AC_F",9.69,1.187,"lipid",0.18618538,0.130070975058398,0.0547586132517956,0.208253170195865
"15","CFAC3","400_31_2",6,405,31,"T90","F","PAST","C","420","31","AC_F",10.757,0.511,"lipid",0.084289501,0.173385287066769,0.0732012368637135,0.270103625966225
"16","CFAC5","700_31_2",8,701,31,"T90","F","PAST","C","680","31","AC_F",11.743,0.468,"lipid",0.148374668,0.173385287066769,0.0732012368637135,0.270103625966225
"17","CFAC6","700_28_2",8,673,28,"T90","F","PAST","C","680","28","AC_F",10.222,0.538,"lipid",0.122342722,0.130070975058398,0.0547586132517956,0.208253170195865
"18","CFAC8","2800_28_2",10,3285,28,"T90","F","PAST","C","3300","28","AC_F",9.302,0.591,"lipid",0.072591537,0.130070975058398,0.0547586132517956,0.208253170195865
"19","CFAD12","400_28_2",6,447,28,"T90","F","PAST","D","420","28","AD_F",5.764,0.954,"lipid",0.152609972,0.130070975058398,0.0547586132517956,0.208253170195865
"20","CFAD2","280_28_2",4,288,28,"T90","F","PAST","D","300","28","AD_F",8.646,0.636,"lipid",0.115535049,0.130070975058398,0.0547586132517956,0.208253170195865
"21","CFAD5","700_31_2",8,701,31,"T90","F","PAST","D","680","31","AD_F",9.903,0.555,"lipid",0.078126434,0.173385287066769,0.0732012368637135,0.270103625966225
"22","CFAD6","700_28_2",8,673,28,"T90","F","PAST","D","680","28","AD_F",8.446,0.651,"lipid",0.075443369,0.130070975058398,0.0547586132517956,0.208253170195865
"23","CFAD8","2800_28_2",10,3285,28,"T90","F","PAST","D","3300","28","AD_F",9.366,0.587,"lipid",0.129487411,0.130070975058398,0.0547586132517956,0.208253170195865
"24","CFAD9","400_28_3",6,447,28,"T90","F","PAST","D","420","28","AD_F",6.6,1.591,"lipid",0.211555442,0.130070975058398,0.0547586132517956,0.208253170195865
"25","CFAE10","280_31_3",4,311,31,"T90","F","PAST","E","300","31","AE_F",8.362,1.256,"lipid",0.175859548,0.173385287066769,0.0732012368637135,0.270103625966225
"26","CFAE15","280_28_3",4,288,28,"T90","F","PAST","E","300","28","AE_F",8.097,0.679,"lipid",0.200566398,0.130070975058398,0.0547586132517956,0.208253170195865
"27","CFAE8","2800_28_3",10,3285,28,"T90","F","PAST","E","3300","28","AE_F",11.355,0.484,"lipid",0.092137439,0.130070975058398,0.0547586132517956,0.208253170195865
"28","CFAF2","280_28_3",4,288,28,"T90","F","PAST","F","300","28","AF_F",10.805,1.157,"lipid",0.205845264,0.130070975058398,0.0547586132517956,0.208253170195865
"29","CFAF3","400_31_3",6,405,31,"T90","F","PAST","F","420","31","AF_F",10.534,0.997,"lipid",0.26288503,0.173385287066769,0.0732012368637135,0.270103625966225
"30","CFAF5","700_31_3",8,701,31,"T90","F","PAST","F","680","31","AF_F",10.342,0.822,"lipid",0.089170304,0.173385287066769,0.0732012368637135,0.270103625966225
"31","CFAF6","700_28_3",8,673,28,"T90","F","PAST","F","680","28","AF_F",10.115,0.84,"lipid",0.073699159,0.130070975058398,0.0547586132517956,0.208253170195865
"32","CFAF8","2800_28_3",10,3285,28,"T90","F","PAST","F","3300","28","AF_F",9.643,1.089,"lipid",0.126541338,0.130070975058398,0.0547586132517956,0.208253170195865
"33","CFAF9","400_28_3",6,447,28,"T90","F","PAST","F","420","28","AF_F",5.018,1.893,"lipid",0.344479818,0.130070975058398,0.0547586132517956,0.208253170195865
"34","CFPA1","280_31_1",4,311,31,"T90","F","PSTR","A","300","31","PA_F",12.372,0.647,"lipid",0.102913221,0.0864250097583006,-0.000727389047540827,0.172059877528561
"35","CFPA10","2800_28_2",10,3285,28,"T90","F","PSTR","A","3300","28","PA_F",14.24,0.878,"lipid",0.285832295,0.220956937711834,0.156527474676089,0.28683368184249
"36","CFPA11","400_31_2",6,405,31,"T90","F","PSTR","A","420","31","PA_F",10.967,1.14,"lipid",0.310223475,0.0864250097583006,-0.000727389047540827,0.172059877528561
"37","CFPA12","280_31_2",4,311,31,"T90","F","PSTR","A","300","31","PA_F",18.462,0.298,"lipid",0.026834215,0.0864250097583006,-0.000727389047540827,0.172059877528561
"38","CFPA2","280_28_1",4,288,28,"T90","F","PSTR","A","300","28","PA_F",11.998,0.667,"lipid",0.145702873,0.220956937711834,0.156527474676089,0.28683368184249
"39","CFPA20","700_31_2",8,701,31,"T90","F","PSTR","A","680","31","PA_F",10.441,1.58,"lipid",0.160491748,0.0864250097583006,-0.000727389047540827,0.172059877528561
"40","CFPA21","280_28_2",4,288,28,"T90","F","PSTR","A","300","28","PA_F",16.909,1.36,"lipid",0.33373316,0.220956937711834,0.156527474676089,0.28683368184249
"41","CFPA22","2800_31_2",10,3309,31,"T90","F","PSTR","A","3300","31","PA_F",9.655,0.57,"lipid",0.054155446,0.0864250097583006,-0.000727389047540827,0.172059877528561
"42","CFPA3","400_31_1",6,405,31,"T90","F","PSTR","A","420","31","PA_F",12.671,0.671,"lipid",0.108442957,0.0864250097583006,-0.000727389047540827,0.172059877528561
"43","CFPA6","700_28_1",8,673,28,"T90","F","PSTR","A","680","28","PA_F",11.948,1.758,"lipid",0.32800819,0.220956937711834,0.156527474676089,0.28683368184249
"44","CFPA7","2800_31_1",10,3309,31,"T90","F","PSTR","A","3300","31","PA_F",11.518,0.478,"lipid",0.01722521,0.0864250097583006,-0.000727389047540827,0.172059877528561
"45","CFPA8","2800_28_1",10,3285,28,"T90","F","PSTR","A","3300","28","PA_F",7.292,0.754,"lipid",0.035007876,0.220956937711834,0.156527474676089,0.28683368184249
"46","CFPA9","700_28_2",8,673,28,"T90","F","PSTR","A","680","28","PA_F",14.665,1.773,"lipid",0.392843387,0.220956937711834,0.156527474676089,0.28683368184249
"47","CFPB1","400_28_1",6,447,28,"T90","F","PSTR","B","420","28","PB_F",7.942,1.007,"lipid",0.193019577,0.220956937711834,0.156527474676089,0.28683368184249
"48","CFPB12","2800_28_1",10,3285,28,"T90","F","PSTR","B","3300","28","PB_F",9.46,0.581,"lipid",0.058376966,0.220956937711834,0.156527474676089,0.28683368184249
"49","CFPB2","280_28_1",4,288,28,"T90","F","PSTR","B","300","28","PB_F",10.94,1.462,"lipid",0.275427958,0.220956937711834,0.156527474676089,0.28683368184249
"50","CFPB3","400_31_1",6,405,31,"T90","F","PSTR","B","420","31","PB_F",12.899,0.426,"lipid",0.113718165,0.0864250097583006,-0.000727389047540827,0.172059877528561
"51","CFPB6","700_28_1",8,673,28,"T90","F","PSTR","B","680","28","PB_F",11.396,1.799,"lipid",0.629894565,0.220956937711834,0.156527474676089,0.28683368184249
"52","CFPB7","2800_31_1",10,3309,31,"T90","F","PSTR","B","3300","31","PB_F",8.536,0.937,"lipid",0.072569223,0.0864250097583006,-0.000727389047540827,0.172059877528561
"53","CFPB9","280_31_1",4,311,31,"T90","F","PSTR","B","300","31","PB_F",9.076,0.606,"lipid",0.01489788,0.0864250097583006,-0.000727389047540827,0.172059877528561
"54","CFPC10","400_28_2",6,447,28,"T90","F","PSTR","C","420","28","PC_F",10.171,1.032,"lipid",0.194421476,0.220956937711834,0.156527474676089,0.28683368184249
"55","CFPC11","280_28_2",4,288,28,"T90","F","PSTR","C","300","28","PC_F",12.342,1.215,"lipid",0.232894216,0.220956937711834,0.156527474676089,0.28683368184249
"56","CFPC12","700_31_2",8,701,31,"T90","F","PSTR","C","680","31","PC_F",11.884,0.463,"lipid",0.019353738,0.0864250097583006,-0.000727389047540827,0.172059877528561
"57","CFPC2","280_28_2",4,288,28,"T90","F","PSTR","C","300","28","PC_F",10.872,1.472,"lipid",0.142358185,0.220956937711834,0.156527474676089,0.28683368184249
"58","CFPC6","700_28_2",8,673,28,"T90","F","PSTR","C","680","28","PC_F",11.821,0.888,"lipid",0.06152616,0.220956937711834,0.156527474676089,0.28683368184249
"59","CFPC8","2800_28_2",10,3285,28,"T90","F","PSTR","C","3300","28","PC_F",10.075,0.546,"lipid",0.137596669,0.220956937711834,0.156527474676089,0.28683368184249
"60","CFPD1","280_31_2",4,311,31,"T90","F","PSTR","D","300","31","PD_F",12.425,1.69,"lipid",0.069706844,0.0864250097583006,-0.000727389047540827,0.172059877528561
"61","CFPD11","2800_28_2",10,3285,28,"T90","F","PSTR","D","3300","28","PD_F",7.24,1.105,"lipid",0.397779198,0.220956937711834,0.156527474676089,0.28683368184249
"62","CFPD2","280_28_2",4,288,28,"T90","F","PSTR","D","300","28","PD_F",11.427,0.7,"lipid",0.221084052,0.220956937711834,0.156527474676089,0.28683368184249
"63","CFPD5","700_31_2",8,701,31,"T90","F","PSTR","D","680","31","PD_F",8.533,0.645,"lipid",0.010662833,0.0864250097583006,-0.000727389047540827,0.172059877528561
"64","CFPD6","400_28_2",6,447,28,"T90","F","PSTR","D","420","28","PD_F",8.239,0.789,"lipid",0.030270381,0.220956937711834,0.156527474676089,0.28683368184249
"65","CFPD7","2800_31_2",10,3309,31,"T90","F","PSTR","D","3300","31","PD_F",11.931,0.461,"lipid",0.096010272,0.0864250097583006,-0.000727389047540827,0.172059877528561
"66","CFPD8","2800_28_2",10,3285,28,"T90","F","PSTR","D","3300","28","PD_F",7.965,4.143,"lipid",1.043987613,0.220956937711834,0.156527474676089,0.28683368184249
"67","CFPD9","700_28_2",8,673,28,"T90","F","PSTR","D","680","28","PD_F",7.055,0.78,"lipid",0.065683866,0.220956937711834,0.156527474676089,0.28683368184249
"68","CFPE10","280_28_1",4,288,28,"T90","F","PSTR","E","300","28","PE_F",11.543,1.083,"lipid",0.382735528,0.220956937711834,0.156527474676089,0.28683368184249
"69","CFPE12","700_28_2",8,673,28,"T90","F","PSTR","E","680","28","PE_F",13.964,0.394,"lipid",0.011040476,0.220956937711834,0.156527474676089,0.28683368184249
"70","CFPE14","280_28_2",4,288,28,"T90","F","PSTR","E","300","28","PE_F",8.052,0.994,"lipid",0.277998049,0.220956937711834,0.156527474676089,0.28683368184249
"71","CFPE2","280_28_3",4,288,28,"T90","F","PSTR","E","300","28","PE_F",10.804,0.602,"lipid",0.087067659,0.220956937711834,0.156527474676089,0.28683368184249
"72","CFPE42","2800_28_1",10,3285,28,"T90","F","PSTR","E","3300","28","PE_F",9.626,0.675,"lipid",0.015049067,0.220956937711834,0.156527474676089,0.28683368184249
"73","CFPE6","700_28_3",8,673,28,"T90","F","PSTR","E","680","28","PE_F",10.186,0.785,"lipid",0.139318444,0.220956937711834,0.156527474676089,0.28683368184249
"74","CFPE8","2800_28_3",10,3285,28,"T90","F","PSTR","E","3300","28","PE_F",11.411,0.745,"lipid",0.135297048,0.220956937711834,0.156527474676089,0.28683368184249
"75","CFPF1","280_31_3",4,311,31,"T90","F","PSTR","F","300","31","PF_F",10.667,0.75,"lipid",0.101261598,0.0864250097583006,-0.000727389047540827,0.172059877528561
"76","CFPF2","280_28_3",4,288,28,"T90","F","PSTR","F","300","28","PF_F",11.07,0.497,"lipid",0.144708576,0.220956937711834,0.156527474676089,0.28683368184249
"77","CFPF6","700_28_3",8,673,28,"T90","F","PSTR","F","680","28","PF_F",11.765,0.637,"lipid",0.178358814,0.220956937711834,0.156527474676089,0.28683368184249
"78","CFPF7","2800_31_3",10,3309,31,"T90","F","PSTR","F","3300","31","PF_F",12.335,1.5,"lipid",0.080168827,0.0864250097583006,-0.000727389047540827,0.172059877528561
"79","CFPF8","2800_28_3",10,3285,28,"T90","F","PSTR","F","3300","28","PF_F",15.117,0.695,"lipid",0.092627801,0.220956937711834,0.156527474676089,0.28683368184249
"80","CFSA1","280_31_1",4,311,31,"T90","F","SSID","A","300","31","SA_F",10.283,2.237,"lipid",1.191960831,0.397450612572292,0.326158925901378,0.466856391517517
"81","CFSA10","2800_28_1",10,3285,28,"T90","F","SSID","A","3300","28","SA_F",6.446,0.853,"lipid",0.15873714,0.41405458001474,0.345237194573603,0.483478103485127
