"","coral","tank","treat","pco2","temp","T0_T90","reef","species","col","fpco2","ftemp","colony","SA","offset","param","value","mean","lowerci","upperci"
"1","CFAA1","280_31_1",4,311,31,"T90","F","PAST","A","300","31","AA_F",10.547,0.759,"chla",217.808,157.450984285671,119.220901748658,195.401326158412
"2","CFAA14","400_28_1",6,447,28,"T90","F","PAST","A","420","28","AA_F",10.418,0.624,"chla",110.249,67.0997682295401,36.3086038986265,98.8858082613986
"3","CFAA2","280_28_1",4,288,28,"T90","F","PAST","A","300","28","AA_F",8.63,0.637,"chla",21.946,99.2446563471991,65.9871241117041,132.276840795592
"4","CFAA6","700_28_1",8,673,28,"T90","F","PAST","A","680","28","AA_F",12.19,0.615,"chla",15.681,36.134378876364,4.15637486326872,68.6584005610439
"5","CFAA8","2800_28_1",10,3285,28,"T90","F","PAST","A","3300","28","AA_F",11.967,1.212,"chla",70.777,18.0062336658828,-16.8453470755396,48.3750249212443
"6","CFAB11","700_28_1",8,673,28,"T90","F","PAST","B","680","28","AB_F",10.074,1.191,"chla",29.419,36.134378876364,4.15637486326872,68.6584005610439
"7","CFAB18","400_28_1",6,447,28,"T90","F","PAST","B","420","28","AB_F",9.132,0.602,"chla",62.217,67.0997682295401,36.3086038986265,98.8858082613986
"8","CFAB2","280_28_1",4,288,28,"T90","F","PAST","B","300","28","AB_F",10.698,0.981,"chla",114.412,99.2446563471991,65.9871241117041,132.276840795592
"9","CFAB3","400_31_1",6,405,31,"T90","F","PAST","B","420","31","AB_F",11.497,0.478,"chla",35.844,54.616898837076,16.3004289133611,93.1175276559166
"10","CFAB5","700_31_1",8,701,31,"T90","F","PAST","B","680","31","AB_F",11.136,0.494,"chla",97.157,99.5496393276784,63.5329853204618,135.795434336513
"11","CFAB8","2800_28_1",10,3285,28,"T90","F","PAST","B","3300","28","AB_F",9.958,0.552,"chla",28.351,18.0062336658828,-16.8453470755396,48.3750249212443
"12","CFAC1","280_31_2",4,311,31,"T90","F","PAST","C","300","31","AC_F",8.561,0.642,"chla",141.125,157.450984285671,119.220901748658,195.401326158412
"13","CFAC12","400_28_2",6,447,28,"T90","F","PAST","C","420","28","AC_F",9.083,0.881,"chla",76.26,67.0997682295401,36.3086038986265,98.8858082613986
"14","CFAC2","280_28_2",4,288,28,"T90","F","PAST","C","300","28","AC_F",9.69,1.187,"chla",93.196,99.2446563471991,65.9871241117041,132.276840795592
"15","CFAC3","400_31_2",6,405,31,"T90","F","PAST","C","420","31","AC_F",10.757,0.511,"chla",47.44,54.616898837076,16.3004289133611,93.1175276559166
"16","CFAC5","700_31_2",8,701,31,"T90","F","PAST","C","680","31","AC_F",11.743,0.468,"chla",77.802,99.5496393276784,63.5329853204618,135.795434336513
"17","CFAC6","700_28_2",8,673,28,"T90","F","PAST","C","680","28","AC_F",10.222,0.538,"chla",26.419,36.134378876364,4.15637486326872,68.6584005610439
"18","CFAC8","2800_28_2",10,3285,28,"T90","F","PAST","C","3300","28","AC_F",9.302,0.591,"chla",20.737,18.0062336658828,-16.8453470755396,48.3750249212443
"19","CFAD12","400_28_2",6,447,28,"T90","F","PAST","D","420","28","AD_F",5.764,0.954,"chla",120.172,67.0997682295401,36.3086038986265,98.8858082613986
